model_type,file,avg_flops_log,energy_log,mem_utilization_log,auc,params
vit,vit_model_12_16_32_0.001.pth,29.77326887918109,8.071117316477672,5.812492355391984,0.8516637086868286,18.2612825164654
vit,vit_model_6_16_32_0.001.pth,29.08198438968467,7.856175099313134,5.1524134317497055,0.8525126576423645,17.570609354219396
vit,vit_model_12_8_64_0.0005.pth,29.77326887918109,8.410356253049374,5.814359341933351,0.8356402516365051,18.2612825164654
vit,vit_model_6_16_32_0.0005.pth,29.08198438968467,7.804000842149298,5.1524134317497055,0.8335339426994324,17.570609354219396
vit,vit_model_12_8_64_0.001.pth,29.77326887918109,7.530536324130878,5.814359341933351,0.8541218042373657,18.2612825164654
vit,vit_model_12_8_32_0.001.pth,29.77326887918109,8.095579188992627,5.814359341933351,0.8518733978271484,18.2612825164654
vit,vit_model_12_16_64_0.0005.pth,29.77326887918109,7.79372699972912,5.814359341933351,0.8336979746818542,18.2612825164654
vit,vit_model_6_8_64_0.001.pth,29.08198438968467,7.7472634497917,5.1524134317497055,0.8531252145767212,17.570609354219396
vit,vit_model_6_8_32_0.0005.pth,29.08198438968467,6.903716132602738,5.1524134317497055,0.8314626812934875,17.570609354219396
vit,vit_model_6_8_32_0.001.pth,29.08198438968467,7.649910219083291,5.1524134317497055,0.8523448705673218,17.570609354219396
vit,vit_model_12_16_32_0.0005.pth,29.77326887918109,7.61429487940596,5.814359341933351,0.8344331979751587,18.2612825164654
vit,vit_model_12_8_32_0.0005.pth,29.77326887918109,7.090510908219446,5.814359341933351,0.8385542631149292,18.2612825164654
vit,vit_model_6_16_64_0.001.pth,29.08198438968467,7.534820881838259,5.1524134317497055,0.8523300290107727,17.570609354219396
vit,vit_model_6_16_64_0.0005.pth,29.08198438968467,6.851727637342264,5.1524134317497055,0.8342362642288208,17.570609354219396
vit,vit_model_6_8_64_0.0005.pth,29.08198438968467,6.9696459225840055,5.1524134317497055,0.8327096700668335,17.570609354219396
vit,vit_model_12_16_64_0.001.pth,29.77326887918109,7.32462378713989,5.814359341933351,0.8477185964584351,18.2612825164654
cnn,cnn_model_32_3_3_0.001.pth,15.687130564427685,7.0287332055350396,2.2278615467981093,0.8831089735031128,10.099465435777569
cnn,cnn_model_64_4_3_0.001.pth,17.072498789733523,7.278125019651792,2.2669579153508947,0.9370614886283875,11.70382677684363
cnn,cnn_model_64_2_3_0.0005.pth,16.81488419370453,7.306699170100036,2.2375130962503307,0.8006426692008972,10.761682961219572
cnn,cnn_model_32_3_3_0.0005.pth,15.687130564427685,6.722220565524845,2.2278615467981093,0.8274542689323425,10.099465435777569
cnn,cnn_model_64_3_3_0.0005.pth,17.02601350794118,6.557417356499286,2.252343876557299,0.8492206335067749,11.339833187054728
cnn,cnn_model_32_2_3_0.0005.pth,15.486827458110039,7.149108031901082,2.224623551524334,0.7909776568412781,9.621257258762592
cnn,cnn_model_64_4_3_0.0005.pth,17.072498789733523,7.152605526056037,2.2669579153508947,0.8869732022285461,11.70382677684363
cnn,cnn_model_64_2_3_0.001.pth,16.81488419370453,6.219038270701507,2.2375130962503307,0.8351607322692871,10.761682961219572
cnn,cnn_model_64_3_3_0.001.pth,17.02601350794118,7.120945459438558,2.252343876557299,0.8876949548721313,11.339833187054728
cnn,cnn_model_32_2_3_0.001.pth,15.486827458110039,7.119384797498295,2.224623551524334,0.8179081082344055,9.621257258762592
cnn,cnn_model_32_4_3_0.001.pth,15.731510391575945,6.94621608809685,2.2321626286975,0.9136427640914917,10.421626369596343
cnn,cnn_model_32_4_3_0.0005.pth,15.731510391575945,7.236245745861692,2.2321626286975,0.8631718754768372,10.421626369596343
gat,gnn_model_3_64_3_64_0.001.pth,19.037870513970468,8.144310465261857,2.427454075039915,0.8791427612304688,11.613693451089512
gat,gnn_model_3_64_3_32_0.001.pth,18.92930490627935,7.848910316023723,2.424802725718295,0.8848875164985657,11.524478471248804
gat,gnn_model_3_32_3_32_0.001.pth,18.86291350764474,7.7954901455053625,2.423031246069913,0.8762646913528442,11.470205837750067
gat,gnn_model_3_64_3_64_0.0005.pth,19.037870513970468,7.767412165288699,2.427454075039915,0.8604060411453247,11.613693451089512
gat,gnn_model_3_32_3_64_0.0005.pth,18.978516479963556,7.611679181513298,2.425687290128029,0.8520110249519348,11.56416975815724
gat,gnn_model_3_64_3_32_0.0005.pth,18.92930490627935,7.551249923637011,2.424802725718295,0.8652929067611694,11.524478471248804
gat,gnn_model_3_32_3_64_0.001.pth,18.978516479963556,7.724265453788442,2.425687290128029,0.8777108192443848,11.56416975815724
gat,gnn_model_3_32_3_32_0.0005.pth,18.86291350764474,7.705771354374192,2.423031246069913,0.8620793223381042,11.470205837750067
