model_type,file,avg_flops_log,energy_log,mem_utilization_log,auc,params
vit,vit_model_12_16_32_0.001.pth,29.022514223000517,10.57372540700473,5.813732539856918,0.983342170715332,18.26139073704522
vit,vit_model_6_16_32_0.001.pth,28.331251289722694,9.807102690467621,5.154811730954097,0.9913129210472107,17.57082524893773
vit,vit_model_12_8_64_0.0005.pth,29.022514223000517,9.363422166463252,5.815597214581815,0.989006757736206,18.26139073704522
vit,vit_model_6_16_32_0.0005.pth,28.331251289722694,9.304397949419764,5.154811730954097,0.9864465594291687,17.57082524893773
vit,vit_model_12_8_64_0.001.pth,29.022514223000517,9.17841617439152,5.815597214581815,0.9908339977264404,18.26139073704522
vit,vit_model_12_8_32_0.001.pth,29.022514223000517,9.00533065433557,5.815597214581815,0.9923895001411438,18.26139073704522
vit,vit_model_12_16_64_0.0005.pth,29.022514223000517,7.35143225820029,5.815597214581815,0.9890666604042053,18.26139073704522
vit,vit_model_6_8_64_0.001.pth,28.331251289722694,7.477902841146682,5.154811730954097,0.9910785555839539,17.57082524893773
vit,vit_model_6_8_32_0.0005.pth,28.331251289722694,7.698353981399814,5.154811730954097,0.9888044595718384,17.57082524893773
vit,vit_model_6_8_32_0.001.pth,28.331251289722694,7.821463880023722,5.154811730954097,0.9907755255699158,17.57082524893773
vit,vit_model_12_16_32_0.0005.pth,29.022514223000517,7.976522261036755,5.815597214581815,0.9857892394065857,18.26139073704522
vit,vit_model_12_8_32_0.0005.pth,29.022514223000517,8.026621400327526,5.815597214581815,0.9875791072845459,18.26139073704522
vit,vit_model_6_16_64_0.001.pth,28.331251289722694,7.993715533815344,5.154811730954097,0.9909220337867737,17.57082524893773
vit,vit_model_6_16_64_0.0005.pth,28.331251289722694,8.15160463904179,5.154811730954097,0.9720912575721741,17.57082524893773
vit,vit_model_6_8_64_0.0005.pth,28.331251289722694,8.195428585395439,5.154811730954097,0.9851680397987366,17.57082524893773
vit,vit_model_12_16_64_0.001.pth,29.022514223000517,7.028034751500833,5.815597214581815,0.9902009963989258,18.26139073704522
cnn,cnn_model_32_3_3_0.001.pth,15.68760315422854,6.80170563704244,2.269028309465203,0.7981789112091064,10.161148465875899
cnn,cnn_model_64_4_3_0.001.pth,17.072617067607812,6.958343825092949,2.306577114263583,0.9112495183944702,11.716535472781967
cnn,cnn_model_64_2_3_0.0005.pth,16.815037223698706,7.055071226577277,2.278292400425001,0.5858511924743652,10.793968047510466
cnn,cnn_model_32_3_3_0.0005.pth,15.68760315422854,7.302765929186442,2.269028309465203,0.6313796639442444,10.161148465875899
cnn,cnn_model_64_3_3_0.0005.pth,17.02613741344274,7.416943563038752,2.2925347571405443,0.6629461646080017,11.358071204354712
cnn,cnn_model_32_2_3_0.0005.pth,15.487404825331621,7.488780246155059,2.2648832258100344,0.5756721496582031,9.718963572186974
cnn,cnn_model_64_4_3_0.0005.pth,17.072617067607812,7.563942788305911,2.306577114263583,0.7665553689002991,11.716535472781967
cnn,cnn_model_64_2_3_0.001.pth,16.815037223698706,7.6747800480166655,2.278292400425001,0.6828998327255249,10.793968047510466
cnn,cnn_model_64_3_3_0.001.pth,17.02613741344274,7.727482245642005,2.2925347571405443,0.7657953500747681,11.358071204354712
cnn,cnn_model_32_2_3_0.001.pth,15.487404825331621,6.885254013635623,2.2648832258100344,0.6682058572769165,9.718963572186974
cnn,cnn_model_32_4_3_0.001.pth,15.731962471149647,6.402928294019547,2.272125885509337,0.8473600149154663,10.46669687598168
cnn,cnn_model_32_4_3_0.0005.pth,15.731962471149647,6.449838310871549,2.272125885509337,0.5430036187171936,10.46669687598168
gat,gnn_model_3_64_3_64_0.001.pth,19.037887085992473,6.024294691698684,3.1245651453969594,0.9562857151031494,11.627592539948354
gat,gnn_model_3_64_3_32_0.001.pth,18.929323378730768,6.026276517560025,3.1232455938529506,0.9852474331855774,11.53966476215985
gat,gnn_model_3_32_3_32_0.001.pth,18.86293324812325,6.0837246255332795,3.122364924487357,0.9822348952293396,11.486232352714067
gat,gnn_model_3_64_3_64_0.0005.pth,19.037887085992473,6.151838678169112,3.1245651453969594,0.9502607583999634,11.627592539948354
gat,gnn_model_3_32_3_64_0.0005.pth,18.978534065370013,6.199210156242095,3.123685637864452,0.9376792907714844,11.578769383705488
gat,gnn_model_3_64_3_32_0.0005.pth,18.929323378730768,6.219496132494967,3.1232455938529506,0.9508737325668335,11.53966476215985
gat,gnn_model_3_32_3_64_0.001.pth,18.978534065370013,6.103274222159987,3.123685637864452,0.9445852637290955,11.578769383705488
gat,gnn_model_3_32_3_32_0.0005.pth,18.86293324812325,6.288824636111034,3.122364924487357,0.9300762414932251,11.486232352714067
