model_type,file,avg_flops_log,energy_log,mem_utilization_log,auc,params
vit,vit_model_12_16_32_0.001.pth,28.85566280753324,8.175221058052415,5.812422275544729,0.98499596118927,18.261255494675492
vit,vit_model_6_16_32_0.001.pth,28.163715560354067,6.913149702879425,5.148654890663786,0.9846224784851074,17.57055544345433
vit,vit_model_12_8_64_0.0005.pth,28.85566280753324,7.953087740008112,5.812422275544729,0.9832926988601685,18.261255494675492
vit,vit_model_6_16_32_0.0005.pth,28.163715560354067,7.175903552999463,5.148654890663786,0.9814739227294922,17.57055544345433
vit,vit_model_12_8_64_0.001.pth,28.85566280753324,7.385207969949837,5.812422275544729,0.9846895337104797,18.261255494675492
vit,vit_model_12_8_32_0.001.pth,28.85566280753324,7.204539550447986,5.812422275544729,0.9850292205810547,18.261255494675492
vit,vit_model_12_16_64_0.0005.pth,28.85566280753324,7.674407535704582,5.812422275544729,0.9830666780471802,18.261255494675492
vit,vit_model_6_8_64_0.001.pth,28.163715560354067,6.890100343743416,5.148654890663786,0.9844678044319153,17.57055544345433
vit,vit_model_6_8_32_0.0005.pth,28.163715560354067,5.517099420346681,5.148654890663786,0.9815307855606079,17.57055544345433
vit,vit_model_6_8_32_0.001.pth,28.163715560354067,6.6653346122671016,5.148654890663786,0.9841634035110474,17.57055544345433
vit,vit_model_12_16_32_0.0005.pth,28.85566280753324,6.531976149493876,5.812422275544729,0.9830806851387024,18.261255494675492
vit,vit_model_12_8_32_0.0005.pth,28.85566280753324,6.944370678173258,5.812422275544729,0.9829521179199219,18.261255494675492
vit,vit_model_6_16_64_0.001.pth,28.163715560354067,6.699161612848861,5.148654890663786,0.98444002866745,17.57055544345433
vit,vit_model_6_16_64_0.0005.pth,28.163715560354067,5.190871344399189,5.148654890663786,0.9812256097793579,17.57055544345433
vit,vit_model_6_8_64_0.0005.pth,28.163715560354067,4.990208071782429,5.148654890663786,0.9817301630973816,17.57055544345433
vit,vit_model_12_16_64_0.001.pth,28.85566280753324,6.815534721375988,5.812422275544729,0.9846423864364624,18.261255494675492
cnn,cnn_model_32_3_3_0.001.pth,15.420574116849165,6.564179874489816,2.2267833795777636,0.9792934656143188,10.099465435777569
cnn,cnn_model_64_4_3_0.001.pth,16.79353822583479,6.311771106134825,2.265921108622454,0.9885091781616211,11.70382677684363
cnn,cnn_model_64_2_3_0.0005.pth,16.548110271987692,4.663250397064616,2.2353763433005955,0.9438762664794922,10.761682961219572
cnn,cnn_model_32_3_3_0.0005.pth,15.420574116849165,5.287256419188612,2.2267833795777636,0.9665072560310364,10.099465435777569
cnn,cnn_model_64_3_3_0.0005.pth,16.759184613071938,6.492194379441927,2.2512917986064953,0.9693310856819153,11.339833187054728
cnn,cnn_model_32_2_3_0.0005.pth,15.220383267845357,6.083998148510915,2.222459048514761,0.9411250352859497,9.621257258762592
cnn,cnn_model_64_4_3_0.0005.pth,16.79353822583479,6.779853723329585,2.265921108622454,0.9840550422668457,11.70382677684363
cnn,cnn_model_64_2_3_0.001.pth,16.548110271987692,5.838954187885657,2.2353763433005955,0.9582901000976562,10.761682961219572
cnn,cnn_model_64_3_3_0.001.pth,16.759184613071938,6.5849295043947755,2.2512917986064953,0.9800483584403992,11.339833187054728
cnn,cnn_model_32_2_3_0.001.pth,15.220383267845357,6.768240306107501,2.222459048514761,0.9588339924812317,9.621257258762592
cnn,cnn_model_32_4_3_0.001.pth,15.453353986501822,4.242764567340374,2.2300144001592104,0.9877564311027527,10.421626369596343
cnn,cnn_model_32_4_3_0.0005.pth,15.453353986501822,7.0048366166327005,2.2300144001592104,0.9811189770698547,10.421626369596343
gat,gnn_model_3_64_3_64_0.001.pth,18.770866067784635,7.583852938967292,2.390595970316759,0.9882068634033203,11.613693451089512
gat,gnn_model_3_64_3_32_0.001.pth,18.66230715008528,7.023758954738443,2.3869262414277967,0.9854704737663269,11.524478471248804
gat,gnn_model_3_32_3_32_0.001.pth,18.59592021520864,7.414048647578531,2.3850863145057892,0.987535297870636,11.470205837750067
gat,gnn_model_3_64_3_64_0.0005.pth,18.770866067784635,7.097027622987857,2.390595970316759,0.9850963354110718,11.613693451089512
gat,gnn_model_3_32_3_64_0.0005.pth,18.711515601151056,6.874725760767834,2.388762789235098,0.9834485054016113,11.56416975815724
gat,gnn_model_3_64_3_32_0.0005.pth,18.66230715008528,7.242969581879234,2.3869262414277967,0.9842928647994995,11.524478471248804
gat,gnn_model_3_32_3_64_0.001.pth,18.711515601151056,7.121252453244542,2.388762789235098,0.9878882169723511,11.56416975815724
gat,gnn_model_3_32_3_32_0.0005.pth,18.59592021520864,6.771500180436018,2.3850863145057892,0.9837144017219543,11.470205837750067
